,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2769,95 North,Let Yourself Go - Moodymanc's Basement Dub,3nkaNnUjUhCxSPxI5bxE5O,0.809,0.833,6.0,-10.199,0.0,0.0976,0.000467,0.851,0.127,0.373,124.013
2770,Valentina Lisitsa,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",4rrrn8OLrttq7r9RgNXalU,0.194,0.0545,4.0,-24.877,1.0,0.0366,0.983,0.945,0.0551,0.0385,140.966
2771,Valentina Lisitsa,"Canon in D Major, P.37",1p8Po4X9rWvMOuGR2vhVI2,0.407,0.122,2.0,-17.925,1.0,0.0427,0.988,0.942,0.113,0.216,105.484
2772,Valentina Lisitsa,The Piano: The Heart Asks Pleasure First,0UxACryJlLw1VzQWe9eA3x,0.217,0.0408,9.0,-26.146,0.0,0.0379,0.994,0.912,0.0553,0.0614,159.179
2773,Valentina Lisitsa,"Rage Over A Lost Penny, Op.129",3V3OVSNyjQEULHCXUgj1oa,0.304,0.193,7.0,-19.428,1.0,0.0331,0.99,0.91,0.0888,0.32,80.281
2774,Valentina Lisitsa,Truman Sleeps - From “The Truman Show” / Short Version,3x5paczEO2SQyOVAcHpLGa,0.266,0.00361,8.0,-29.735,1.0,0.052,0.995,0.925,0.0723,0.0631,94.861
2775,Valentina Lisitsa,"Piano Concerto No. 2 in C Minor, Op. 18: 1. Moderato",6B1RtXteyMp3mJZTeuFRmE,0.144,0.111,0.0,-19.729,0.0,0.0367,0.978,0.906,0.0646,0.0393,54.898
2776,Valentina Lisitsa,Canon in D Major (Arr. Robert Schultz),4nXMiwWi9tmREdyz4iqSZc,0.395,0.192,2.0,-17.514,1.0,0.0604,0.994,0.931,0.104,0.24,73.135
2777,Valentina Lisitsa,Ashokan Farewell,1LvpbG9frKLWfXOlUgvcjJ,0.377,0.0501,9.0,-20.238,1.0,0.0445,0.994,0.899,0.0932,0.161,70.148
2778,Valentina Lisitsa,"Piano Concerto No. 2 in C Minor, Op. 18: 3. Allegro scherzando",253y3nl2iT4vWs2jHP4G3q,0.319,0.148,0.0,-18.524,0.0,0.0336,0.981,0.899,0.0772,0.067,134.886
2779,Valentina Lisitsa,"Sur le fil - From ""Amelie From Montmartre""",6qxfAhKJl7AOx0B2ppnzVT,0.431,0.0806,4.0,-19.935,0.0,0.0447,0.987,0.656,0.128,0.297,56.782
2780,Bonnie Wylde,Circles,5dQ1B1WENHijmpISc6ukfZ,0.64,0.454,11.0,-14.003,0.0,0.0757,0.511,0.24,0.109,0.093,120.009
2781,Bonnie Wylde,23,0wpCWHG2hiwcH9647UY2Ja,0.637,0.518,5.0,-4.561,1.0,0.0383,0.022,6.27e-05,0.131,0.299,89.978
2782,Matoma,All Night,0dXNQ8dckG4eYfEtq9zcva,0.538,0.804,8.0,-5.194,1.0,0.0358,0.0041,0.0,0.33,0.507,144.992
2783,Matoma,Good Vibes,53kWAAfx7IopXRa31MQHB8,0.558,0.877,10.0,-3.392,1.0,0.145,0.274,0.0,0.162,0.762,99.988
2784,Matoma,Old Thing Back (feat. Ja Rule and Ralph Tresvant),6HTJZ0TQJVMSKkUGzAOe2h,0.805,0.858,0.0,-3.067,1.0,0.105,0.194,7.89e-06,0.256,0.523,97.033
2785,Matoma,All Night - Slowed N Reverb,1gk5o5yEXAsHeXMJoavmh3,0.607,0.678,8.0,-7.045,0.0,0.0335,0.00527,0.0,0.332,0.433,115.968
2786,Matoma,Summer Feeling,793OuR8rJ0zpVp708ONAxO,0.651,0.702,10.0,-7.833,1.0,0.0876,0.0256,4.87e-05,0.129,0.539,124.924
2787,Matoma,Beside You (feat. Georgia Ku),6Tdy6tOHVEyBmlObZpGJJc,0.634,0.794,6.0,-6.363,1.0,0.0945,0.0801,0.0,0.0664,0.67,123.02
2788,Matoma,The Bender (with Brando),3INNLgKkHn8HOodDulCd7x,0.707,0.882,6.0,-7.46,1.0,0.0384,0.0606,0.0132,0.105,0.208,125.005
2789,Matoma,Party on the West Coast (feat. Snoop Dogg),45OfR7ugJMgbFDuNOVpIq3,0.635,0.795,1.0,-5.089,0.0,0.0917,0.0448,1.48e-05,0.119,0.404,103.951
2790,Matoma,False Alarm,23xqdYb5ViDUx0BOL2mGq6,0.643,0.732,5.0,-6.762,0.0,0.0294,0.00681,4.57e-05,0.0606,0.181,102.979
2791,Matoma,Never Surrender,1RHrd44EAs0l6ZgJuI5FuJ,0.649,0.749,2.0,-5.574,1.0,0.0425,0.248,4.08e-05,0.396,0.231,121.915
2792,Celeda,Music Is the Answer - Original Extended 12-Inch Mix,4n8YdXETqQ3NvWs5XNpvar,0.907,0.643,1.0,-8.657,0.0,0.0549,0.0296,0.0265,0.105,0.376,124.909
2793,Celeda,Music Is The Answer,0zHMwxCVtHjnLxoQdg3uOe,0.9,0.671,6.0,-8.583,0.0,0.0486,0.0317,0.00475,0.1,0.689,124.888
2794,Celeda,The Underground,11DAOSP6hqBuA3cW18PxX2,0.888,0.714,5.0,-13.017,1.0,0.0769,0.0252,0.716,0.0842,0.404,127.815
2795,Celeda,The Underground - Layton Giordani Remix,0AgwRXkhGx07d5syZjz5It,0.863,0.814,8.0,-4.604,1.0,0.0434,2.12e-05,0.0684,0.205,0.2,126.007
2796,Celeda,Be Yourself (And No One Else) (Parts 1 &2),5r6KYuPVwDoC0x5KZeBORi,0.814,0.843,11.0,-8.464,1.0,0.0665,0.0299,0.365,0.14,0.231,124.979
2797,Celeda,Music Is the Answer - FIre Island La Musica Es la Respuesta,1svnAcEpnwdbVM6h6Fll4b,0.757,0.923,1.0,-6.905,0.0,0.0998,0.00683,0.00123,0.0449,0.481,124.989
2798,Celeda,Let The Music Use You Up - Peter Rauhofer Original Club Mix,068rJKY4uVcv26he1x0F5b,0.821,0.805,4.0,-7.701,0.0,0.0368,0.0189,0.0851,0.0956,0.632,127.99
2799,Celeda,Music Is the Answer - Future Shock Dub,7Da9rgVMKaKbufbfHlItHn,0.75,0.935,8.0,-6.405,1.0,0.0786,0.0127,0.842,0.0815,0.43,129.007
2800,Celeda,The Underground - Richard Grey Remix,3HNcg6jZol1d8lOFKg37Ym,0.82,0.631,8.0,-7.233,1.0,0.087,0.0409,0.12,0.0711,0.368,128.005
2801,Celeda,Music Is the Answer - Gabriel Vezzola Mix,5RY2zllwOPIOyjaH7QrosB,0.857,0.691,1.0,-7.565,1.0,0.0607,0.00869,0.692,0.261,0.222,126.993
2802,Foreigner,I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl,0.477,0.471,6.0,-10.036,1.0,0.0277,0.193,1.76e-06,0.131,0.423,81.204
2803,Foreigner,Waiting for a Girl like You,2OgVsp77En2nju8pnCieVU,0.33,0.469,10.0,-9.286,0.0,0.0335,0.31,2.3e-06,0.0402,0.433,201.327
2804,Foreigner,Juke Box Hero,00qOE7OjRl0BpYiCiweZB2,0.357,0.653,9.0,-5.554,1.0,0.0654,0.0828,0.0,0.0844,0.522,176.647
2805,Foreigner,Cold as Ice,7vidktgNZFQylTgH1GEnMs,0.562,0.609,3.0,-7.063,0.0,0.0271,0.0264,0.0,0.17,0.512,130.753
2806,Foreigner,Hot Blooded,6xMHglHoafdDFGXS6qfwSH,0.705,0.806,0.0,-4.83,1.0,0.0814,0.229,0.0,0.0676,0.763,117.945
2807,Foreigner,Urgent,08onVqQ8YicJ98Ycm1qoLf,0.855,0.803,4.0,-5.849,0.0,0.0316,0.342,0.00732,0.0841,0.962,114.867
2808,Foreigner,I Don't Want to Live Without You,19aYH2zhbnTNx4plfenrIk,0.431,0.522,11.0,-8.625,1.0,0.0295,0.436,1.91e-05,0.109,0.233,199.786
2809,Foreigner,That Was Yesterday,4nwUQZbmWMkYzKrXgWRIEw,0.431,0.683,8.0,-7.417,0.0,0.0293,0.0477,8.19e-06,0.213,0.506,114.877
2810,Foreigner,Head Games,5nk6wxUSFUBxUKxjz0fKD6,0.678,0.693,1.0,-6.133,1.0,0.0249,0.0139,0.0,0.0596,0.623,107.415
2811,Foreigner,Double Vision,0fsj3HxzBHev6EJ7OLFE3r,0.682,0.711,9.0,-7.637,0.0,0.0325,0.179,9.53e-05,0.126,0.766,129.546
2812,Lois Lauri,Is She Here,3Pfh8VnMtQxl6vEW4Ebcs1,0.795,0.401,3.0,-12.551,0.0,0.134,0.151,0.000651,0.122,0.362,142.04
2813,Mike WiLL Made-It,23,20FZrLl9zSbO9b3DhaqO6M,0.859,0.599,9.0,-5.254,1.0,0.0614,0.000362,8.2e-06,0.13,0.319,140.005
2814,Mike WiLL Made-It,"Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)",23dwrzeJtEEGl2U4CPWSor,0.545,0.975,10.0,-3.193,0.0,0.454,0.17,0.0,0.145,0.609,123.906
2815,Mike WiLL Made-It,Black Barbies,3y9cCbnBn0zjkJa2YkOj70,0.809,0.588,0.0,-5.167,1.0,0.0869,0.0878,7.24e-05,0.171,0.249,146.024
2816,Mike WiLL Made-It,What That Speed Bout!?,5iZ5wjTTxSIv8Cfrhj6Jla,0.755,0.81,10.0,-4.061,0.0,0.235,0.125,0.0,0.382,0.297,101.93
2817,Mike WiLL Made-It,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",3A2OHirUAlQp2x73BJlEDA,0.741,0.562,4.0,-5.474,0.0,0.165,0.172,0.0,0.0751,0.292,180.068
2818,Mike WiLL Made-It,Buy The World,01A7PEPSnmtixFPfB2UTal,0.793,0.631,11.0,-6.109,0.0,0.0998,0.0406,0.000478,0.207,0.231,119.971
2819,Mike WiLL Made-It,Nothing Is Promised (with Rihanna),4MdQkwmoI9lrUfHGD7wOzy,0.735,0.494,8.0,-7.607,0.0,0.115,0.0108,1.05e-06,0.108,0.143,135.159
2820,Mike WiLL Made-It,Aries (YuGo) (feat. Pharrell & Station Wagon P),59LUh4amaXhgrWh6mWKbCn,0.853,0.635,4.0,-3.82,0.0,0.0405,0.0107,0.0,0.325,0.174,141.982
2821,Mike WiLL Made-It,"Gucci On My (feat. 21 Savage, YG & Migos)",3IHZc2GclRu5nJpTqty7MY,0.934,0.359,1.0,-5.133,1.0,0.23,0.173,8.11e-06,0.152,0.0886,140.004
2822,Mike WiLL Made-It,Ice Cold (Final Round) (with Vince Staples & Ludwig Göransson),701RVIizxCUMCO92CfcPby,0.388,0.558,1.0,-7.476,0.0,0.0707,0.471,0.155,0.135,0.162,163.911
2823,Carla Monroe,Gotta Be You,2Q8fFORnsDE6I3RNvSLXSf,0.642,0.869,6.0,-5.271,0.0,0.0452,0.252,0.0288,0.0708,0.376,123.91
2824,Carla Monroe,Still Sleepless,4vyG9ZhHT8MKJE5mTICMFC,0.628,0.738,6.0,-5.045,0.0,0.0367,0.0156,0.281,0.153,0.699,125.928
2825,Carla Monroe,Lift Me Up (feat. Carla Monroe),0vK80mtYypq4dAwQelZ2Dh,0.579,0.784,5.0,-4.686,1.0,0.0659,0.0426,0.0235,0.317,0.562,125.122
2826,Carla Monroe,2AM,7o0Ov6gRzz2xziseC6GPL0,0.632,0.868,5.0,-6.254,1.0,0.0357,0.0426,0.263,0.307,0.455,122.98
2827,Carla Monroe,Apple Juice (feat. Carla Monroe) - MOTi Remix,6fIgsZFtGXiIvxb2Y6oCc7,0.671,0.91,0.0,-3.621,1.0,0.1,0.00196,0.0316,0.171,0.413,128.036
2828,Carla Monroe,Gotta Be You - Thomas Gold Remix,6UrgeAzcjGEkLmg0jRjAR1,0.494,0.694,6.0,-6.16,0.0,0.0454,0.00508,0.00823,0.639,0.316,128.016
2829,Carla Monroe,Shapes,1rKOURI3kDZFITMZcgqDvO,0.74,0.83,4.0,-5.523,0.0,0.129,0.0548,0.00931,0.0746,0.714,124.023
