,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6718,Hector Berlioz,"Symphonie fantastique, Op. 14, H 48: II. Un Bal",6OMGlCuXFpIvlGosXRe3hC,0.268,0.0534,9.0,-25.892,1.0,0.0496,0.89,0.764,0.136,0.136,113.459
6719,Hector Berlioz,"Symphonie fantastique, Op. 14, H 48: IV. Marche au supplice",66QUI8mnXnu5ZEGdRVaS8Q,0.389,0.0536,10.0,-24.548,1.0,0.0419,0.853,0.897,0.107,0.29,154.621
6720,Hector Berlioz,"La Damnation de Faust, Op.24 / Part 1: Marche hongroise",74DtlQ23SmcKTQfuX7kBWx,0.479,0.433,9.0,-11.376,0.0,0.0287,0.605,0.925,0.167,0.559,102.067
6721,Hector Berlioz,"Symphonie fantastique, Op. 14, H 48: III. Scène aux champs",6JML9PPWNMrtNH0aMftrU1,0.0737,0.00662,5.0,-31.775,1.0,0.0411,0.609,0.00905,0.12,0.039,77.391
6722,Hector Berlioz,"Roman Carnival Overture, Op. 9, H. 95",0mtIYUM4KA2koMOKWmIxFg,0.171,0.268,9.0,-17.523,1.0,0.0429,0.868,0.524,0.322,0.159,89.902
6723,Fiona Daniel,Is It Ok,0KuPia64aOUa97Phezr0G7,0.623,0.542,4.0,-7.067,0.0,0.036,0.0406,0.000114,0.492,0.247,132.038
6724,Fiona Daniel,Symbol Of Love,0xvQPPs96bEeFPOKnBHzzb,0.334,0.389,0.0,-9.226,1.0,0.0376,0.889,0.00206,0.18,0.13,83.885
6725,Fiona Daniel,Prolog,2bBuzmiulaDMlVbwH2ayko,0.338,0.071,11.0,-17.118,0.0,0.0352,0.977,0.929,0.105,0.225,89.965
6726,Fiona Daniel,Letter,0mGHwxi524FO9Cl54fwxOv,0.686,0.324,4.0,-11.455,0.0,0.0369,0.899,0.00519,0.101,0.167,117.01
6727,Fiona Daniel,Dr ewig Reisendi,2Rbz6LCtFzcdqfeD7bRHaL,0.597,0.128,9.0,-14.531,1.0,0.0407,0.975,0.0,0.084,0.282,126.625
6728,Fiona Daniel,Backyard,30UZXpANqFbPUT9vzpvAyh,0.563,0.173,0.0,-11.693,1.0,0.0297,0.991,0.00355,0.0882,0.157,106.547
6729,Fiona Daniel,Adelaide,4ejimCFMC7JNbO8ZaAMYFg,0.559,0.251,4.0,-12.367,0.0,0.0287,0.902,0.00141,0.107,0.229,132.876
6730,Fiona Daniel,Nostalgia,08z4WKryC96VAQZuW3aPYk,0.336,0.107,2.0,-15.135,1.0,0.038,0.893,0.686,0.166,0.0535,135.217
6731,Fiona Daniel,Is It Ok?,1ZYCqaWCQaLRNMWB7R9XaI,0.407,0.318,4.0,-10.885,0.0,0.0338,0.796,0.0,0.105,0.128,131.481
6732,Fiona Daniel,Drowning,7dqG0bH4f8Q9M7eLtGAkpU,0.429,0.183,0.0,-12.219,1.0,0.0316,0.906,0.0,0.0855,0.21,100.181
6733,Paul Hillier,My Heart's in the Highlands,1RmoqoaL6BIje1nXY79PhL,0.12,0.00724,5.0,-27.432,0.0,0.0504,0.969,0.416,0.106,0.0384,74.243
6734,Paul Hillier,Da pacem Domine,1MpCGpXC1IXBRUsJBRcA1Q,0.107,0.032,2.0,-29.055,0.0,0.0503,0.994,0.942,0.0865,0.0317,84.329
6735,Paul Hillier,I lie,4JjFlelE1x55yUnmXSJJvS,0.196,0.0323,1.0,-31.991,1.0,0.0456,0.992,0.0033,0.0906,0.0317,143.42
6736,Paul Hillier,Nunc dimittis,4yYRXposEvz7XSKLxBZipk,0.154,0.0325,8.0,-26.712,1.0,0.0362,0.991,0.533,0.0846,0.0307,75.06
