,artist
804,Cigarettes After Sex
805,Cyndi Lauper
806,Ferrugem
807,James TW
808,Selena
809,YUNGBLUD
810,Olivia O'Brien
811,Dennis Lloyd
812,Lenny Kravitz
813,Lil Kleine
814,Willie Nelson
815,Summer Cem
816,Lalo Ebratt
817,Luísa Sonza
818,Angus & Julia Stone
819,Gavin James
820,Bing Crosby
821,Sofía Reyes
822,ZZ Top
823,Will Smith
824,LUDMILLA
825,IU
826,Alina Baraz
827,Jack & Jack
828,Bill Withers
829,Surfaces
830,Jeezy
831,Oliver Tree
832,Wolfgang Amadeus Mozart
833,WILLOW
834,Jasmine Thompson
835,TLC
836,Blur
837,Tori Kelly
838,Alvaro Soler
839,Ella Fitzgerald
840,Maggie Lindemann
841,Jon Pardi
842,Spice Girls
843,Cher
844,Lupe Fiasco
845,Genesis
846,Sin Bandera
847,Eladio Carrion
848,Lil Xan
849,Mary J. Blige
850,Brantley Gilbert
851,NCT 127
852,Ramin Djawadi
853,Louis Armstrong
854,Snakehips
855,Natiruts
856,Bruno Martini
857,Oliver Heldens
858,Skepta
859,NEFFEX
860,Deftones
861,Gustavo Mioto
862,Salmo
863,Dean Martin
864,The Head And The Heart
865,Benjamin Blümchen
866,The All-American Rejects
867,Lykke Li
868,MC Kevin o Chris
869,Tinie Tempah
870,Bunbury
871,Capo Plaza
872,Lil Jon
873,Toby Keith
874,Beck
875,Vince Staples
876,Andrea Bocelli
877,Lauren Daigle
878,ZHU
879,Timbaland
880,Juicy J
881,Dynoro
882,Alice In Chains
883,Melim
884,Chris Young
885,Gustavo Cerati
886,Salaam Remi
887,Tungevaag
888,TOMORROW X TOGETHER
889,Los Bukis
890,Pabllo Vittar
891,Simone & Simaria
892,Kina
893,The Score
894,Seether
895,Diego & Victor Hugo
896,Kris Kross Amsterdam
897,Frenna
898,Max Richter
899,Brent Faiyaz
900,Showtek
901,Craig David
902,Cash Cash
903,Dustin Lynch
904,Timmy Trumpet
905,Intocable
906,BØRNS
907,Supertramp
908,a-ha
909,A Tribe Called Quest
910,Pixies
911,Foals
912,Daughtry
913,Death Cab for Cutie
914,AWOLNATION
915,Dominic Fike
916,Megadeth
917,Camila
918,SCH
919,Los Enanitos Verdes
920,HONNE
921,Otis Redding
922,A R I Z O N A
923,Jacquees
924,Alanis Morissette
925,Petit Biscuit
926,Pink Sweat$
927,Gloria Trevi
928,Emeli Sandé
929,Dave Matthews Band
930,Jake Owen
931,Wu-Tang Clan
932,Dadju
933,AURORA
934,Missy Elliott
935,Hombres G
936,Counting Crows
937,Pineapple StormTv
938,Foreigner
939,Grouplove
940,Official HIGE DANdism
941,Kelsea Ballerini
942,Canserbero
943,Ricardo Montaner
944,Sam Cooke
945,Evaluna Montaner
946,Eurythmics
947,Beastie Boys
948,Talking Heads
949,Leonard Cohen
